5031922AEROLEP                                     aer.inhal.c/adap.x 250ds00047022NNAustral         00016676420220606002060074620107798160690096025010SNN00
9957959EKINOXIO                                    c ps.duras x 30         00000000NNOlbia Pharma    00012226820220606001108865795900781159759154003050NNN00
9957960IRIGA                                       comp.rec. x 10          00000000NNOlbia Pharma    00016220720220606001108865796000781159759086001030NNN00
9957952IRIGA                                       comp.rec. x 5           00000000NNOlbia Pharma    00008625820220606001108865795200781159759079000510NNN00
9957946SAXIUM                                      comp.rec. x 30          00000000NNOlbia Pharma    00013209620220606001108865794600781159759185003010NNN00
9957945SAXIUM                                      comp.rec. x 60          00000000NNOlbia Pharma    00023221720220606001108865794500781159759192006030NNN00
5537842BUTEFINA                                    500 mg comp.rec.x 16    00026921NNSavant Generic  00009690020220607003088915862607798032937472001610NNN00
6460002BUTEFINA DUO                                1000 mg comp.rec.x 14   00049198NNSavant Generic  00018290020220607003088915863207798032936826001410NNN00
5972847BUXIFOL                                     20 mg comp.rec.x 30     00051474NNSavant Generic  00011690020220607002028915806507798032936994003010NNN00
5972717BUXIFOL                                     40 mg comp.rec.x 30     00081378NNSavant Generic  00017990020220607002028915806607798032937007003010NNN00
6025848CARTIATO                                    12.5 mg comp.x 30       00062636NNSavant Generic  00015420020220607002088915040007798032935157003010SNN00
6025978CARTIATO                                    25 mg comp.x 30         00077609NNSavant Generic  00018890020220607002088915051607798032935171003030SNN00
6025718CARTIATO                                    6.25 mg comp.x 30       00050649NNSavant Generic  00012490020220607002088915040107798032935164003010SNN00
5935685CIPROCORT                                   cr.x 20 g               00000000NNSavant Generic  00009290020220607002008910133007798032935805000110SNN00
6286003COLESTRAX                                   10 mg comp.x 28         00101579NNSavant Generic  00021090020220607002028915035407798032935041002810SNN00
6286133COLESTRAX                                   20 mg comp.x 28         00142883NNSavant Generic  00036990020220607002028915035507798032935058002810SNN00
9958063DAZOMET                                     500 mg comp.x 60        00051426NNSavant Generic  00011565220220607002008915806307798032937144006010NNN00
9958064DAZOMET                                     850 mg comp.x 60        00114986NNSavant Generic  00019282720220607002008915806407798032937151006010NNN00
5465972FABAMOX                                     500 mg comp.rec.x 16    00014984NNSavant Generic  00006090020220607003088913380807798032936666001620SNN00
5465971FABAMOX                                     500 mg comp.rec.x 8     00008754NNSavant Generic  00003290020220607003088913380707798032931920000810SNN00
5466262FABAMOX                                     500 mg/5 ml susp.x 90 ml00021443NNSavant Generic  00007990020220607003088913381007798032931951000110SNN00
6118681FABAMOX BRONQUIAL                           500/30 mg comp.rec.x 16 00000000NNSavant Generic  00008990020220607003028914755807798032934273001610SNN00
6118683FABAMOX BRONQUIAL                           875/60 mg comp.rec.x 14 00000000NNSavant Generic  00009990020220607003028914755907798032936857001410SNN00
5562004FABAMOX DUO                                 500/125 mg comp.rec.x 1600051578NNSavant Generic  00018990020220607003088914019707798032932484001630SNN00
5562135FABAMOX DUO 1 GR                            875/125 mg comp.rec.x 1400043385NNSavant Generic  00017090020220607003088914178407798032933580001410SNN00
6025684FABAMOX DUO SUSPENSION                      400/57 mg susp.x 70 ml  00028347NNSavant Generic  00010890020220607003088914665307798032934013000110SNN00
5466001FABAMOX PLUS                                875 mg comp.rec.x 14    00022156NNSavant Generic  00007890020220607003088914156107798032933399001410SNN00
9958496FIEBROLEX                                   2% sol.x 120 ml         00016743NNSavant Generic  00006290020220607002008915849607798032936949000110NNN00
6176552FLEXIPLEN B12                               comp.rec.x 15           00000000NNSavant Generic  00016390020220607002028914821907798032934426001510SNN00
9954397FLEXIPLEN CAPSULA BLANDA                    25 mg c ps.bl.x 10      00004755NNSavant Generic  00002090020220607001008915439707798032935539001010NNN00
6367265FLEXIPLEN CAPSULA BLANDA                    50 mg c ps.bl.x 10      00009377NNSavant Generic  00003990020220607002028915324807798032935546001010NNN00
9953249FLEXIPLEN CAPSULA BLANDA                    75 mg c ps.bl.x 10      00014479NNSavant Generic  00005990020220607002008915324907798032936635001010NNN00
5836711FLEXIPLEN COMPLEX                           50/400 mg comp.rec.x 10 00000000NNSavant Generic  00006790020220607002028914727107798032934211001010SNN00
9958416FLEXIPLEN GEL                               pomo x 50 g             00000000NNSavant Generic  00006390020220607001008915841607798032936239000110NNN00
9958415FLEXIPLEN PLUS                              50/4 mg c ps.x 10       00000000NNSavant Generic  00006490020220607002008915841507798032937212001010NNN00
6298266GABSIK                                      600 mg comp.rec.x 30    00000000NNSavant Generic  00041890020220607002028915051507798032935027003010SNN00
9958350IBUXIM                                      2% susp. x 90 ml        00000000NNSavant Generic  00003190020220607001008915835007798032937229000110NNN00
9936765IBUXIM                                      4% susp. x 90 ml        00000000NNSavant Generic  00005490020220607001008913676507798032937236000110NNN00
5753556JESAN                                       50 mg comp.x 30         00074832NNSavant Generic  00020990020220607002068914203807798032934778003010SNN00
5755423LIPEND                                      10 mg comp.x 30         00101047NNSavant Generic  00031490020220607002068915001207798032934990003010SNN00
5755553LIPEND                                      20 mg comp.x 30         00142697NNSavant Generic  00052490020220607002068915001307798032936741003010SNN00
5755683LIPEND                                      40 mg comp.x 30         00181817NNSavant Generic  00059990020220607002068915081007798032936758003010SNN00
9956065NUEVAPINA 100                               100 mg comp.x 98        00000000NNSavant Generic  00003790020220607001008915606507798032936048009830NNN00
0661971NUEVAPINA CARDIO                            100 mg comp.x 50        00031553NNSavant Generic  00005090020220607002088915834807798032936208005010NNN00
5766713OTERAMINA                                   10 mg comp.x 30         00083444NNSavant Generic  00025990020220607002088915596907798032936987003010NNN00
5631844REFLUPRAZOL                                 20 mg caps.x 30         00081887NNSavant Generic  00020190020220607002028915843207798032937489003010NNN00
5617842SOFERAX                                     500 mg comp.rec.x 16    00068277NNSavant Generic  00022190020220607003088914019907798032932095001630SNN00
5985391AZOMICINA                                   fco.gotero x 10 ml      00000000NNDromex Biotech  00007469020220607002009045986907798346630021000110NNN00
